posicion,posicion_tipo,nombre_google,tipo,red,clasificacion,provincia,canton,calificacion,resenas,pct_5,pct_1,calificacion_ajustada,indice,delta_posicion,delta_resenas,maps_url,sitio_web
1,1,Hospital Clínica Bíblica,privado,Privado,privado,San José,San José,4.6,2001,85.7,6.8,4.559,91.7,,,https://www.google.com/maps/place/Hospital+Cl%C3%ADnica+B%C3%ADblica/data=!4m7!3m6!1s0x8fa0e368060ebcc1:0xf9defc9ecd48e56e!8m2!3d9.9275385!4d-84.0795396!16s%2Fm%2F06w7wlc!19sChIJwbwOBmjjoI8RbuVIzZ783vk?hl=es,https://www.clinicabiblica.com/
2,2,Hospital Metropolitano • San Carlos,privado,Privado,privado,Alajuela,San Carlos,4.9,247,,,4.563,84.9,,,https://www.google.com/maps/place/Hospital+Metropolitano+%E2%80%A2+San+Carlos/data=!4m7!3m6!1s0x8fa0657bc6322b91:0xde6cba873afcab84!8m2!3d10.3419188!4d-84.431935!16s%2Fg%2F11kk4f6y37!19sChIJkSsyxntloI8RhKv8Ooe6bN4?hl=es,https://metropolitanocr.com/
3,3,Hospital Metropolitano • Liberia,privado,Privado,privado,Guanacaste,Liberia,4.5,151,83.4,11.9,4.258,77.6,,,https://www.google.com/maps/place/Hospital+Metropolitano+%E2%80%A2+Liberia/data=!4m7!3m6!1s0x8f7563f7202f0d5b:0xea47763bff7f1fff!8m2!3d10.6364031!4d-85.4323226!16s%2Fg%2F11j2fgj4_b!19sChIJWw0vIPdjdY8R_x9__zt2R-o?hl=es,https://metropolitanocr.com/
4,4,Hospital Metropolitano,privado,Privado,privado,San José,San José,4.0,598,70.2,20.4,4.004,77.4,,,https://www.google.com/maps/place/Hospital+Metropolitano/data=!4m7!3m6!1s0x8fa0e35c7b9a49af:0x5c9078152bba0ab6!8m2!3d9.9312321!4d-84.0851842!16s%2Fg%2F11xhq6yvy!19sChIJr0mae1zjoI8Rtgq6KxV4kFw?hl=es,https://metropolitanocr.com/
5,5,Hospital Clínica Bíblica,privado,Privado,privado,San José,Santa Ana,4.2,239,75.7,16.3,4.129,76.7,,,https://www.google.com/maps/place/Hospital+Cl%C3%ADnica+B%C3%ADblica/data=!4m7!3m6!1s0x8fa0f906f0b359e3:0x5f50c053344378ba!8m2!3d9.9460374!4d-84.1885095!16s%2Fg%2F11g0vzs1lz!19sChIJ41mz8Ab5oI8RunhDNFPAUF8?hl=es,https://www.clinicabiblica.com/es/santa-ana
6,6,Hospital Metropolitano • Curridabat,privado,Privado,privado,San José,Curridabat,3.9,381,69.0,25.2,3.934,74.6,,,https://www.google.com/maps/place/Hospital+Metropolitano+%E2%80%A2+Curridabat/data=!4m7!3m6!1s0x8fa0e3b0f0e4bc09:0x8c0e589934d28b36!8m2!3d9.9283041!4d-84.0415186!16s%2Fg%2F11sc2s5bl5!19sChIJCbzk8LDjoI8RNovSNJlYDow?hl=es,https://metropolitanocr.com/
7,7,Hospital Metropolitano • Huacas de Santa Cruz,privado,Privado,privado,Guanacaste,Santa Cruz,4.0,131,72.5,19.8,4.01,72.5,,,https://www.google.com/maps/place/Hospital+Metropolitano+%E2%80%A2+Huacas+de+Santa+Cruz/data=!4m7!3m6!1s0x8f9e3a8dadb1c545:0xb4ec39f3c6e4a45c!8m2!3d10.3856951!4d-85.7897934!16s%2Fg%2F11gc62dc4n!19sChIJRcWxrY06no8RXKTkxvM57LQ?hl=es,https://metropolitanocr.com/
8,8,Hospital Universal,privado,Privado,privado,Cartago,Cartago,3.7,260,60.4,27.3,3.818,71.1,,,https://www.google.com/maps/place/Hospital+Universal/data=!4m7!3m6!1s0x8fa0dfe560b59467:0xf066ee1b97d334ea!8m2!3d9.8599357!4d-83.9219298!16s%2Fg%2F1ptzh_0t7!19sChIJZ5S1YOXfoI8R6jTTlxvuZvA?hl=es,https://hospitaluniversal.com/
9,9,Hospital Clínica Alpha,privado,Privado,privado,Alajuela,Alajuela,3.7,155,63.9,27.1,3.859,70.2,,,https://www.google.com/maps/place/Hospital+Cl%C3%ADnica+Alpha/data=!4m7!3m6!1s0x8fa0f9c37c196735:0x1f153097b622d14c!8m2!3d10.0077694!4d-84.2090375!16s%2Fg%2F1tdyrvrv!19sChIJNWcZfMP5oI8RTNEitpcwFR8?hl=es,http://clinica-alpha.com/
10,10,Clínica Bíblica Liberia,privado,Privado,privado,Guanacaste,Liberia,3.7,105,57.1,24.8,3.889,69.5,,,https://www.google.com/maps/place/Cl%C3%ADnica+B%C3%ADblica+Liberia/data=!4m7!3m6!1s0x8f7562d5114149bf:0x55742c49bea22e6d!8m2!3d10.6299207!4d-85.4357264!16s%2Fg%2F1z449zypg!19sChIJv0lBEdVidY8RbS6ivkksdFU?hl=es,http://www.clinicabiblica.com/
11,11,Hospital Las Américas,privado,Privado,privado,San José,Pérez Zeledón,3.7,84,,,3.906,69.1,,,https://www.google.com/maps/place/Hospital+Las+Am%C3%A9ricas/data=!4m7!3m6!1s0x8fa14eee7e37475f:0xabc04436646859c0!8m2!3d9.3696227!4d-83.7041878!16s%2Fg%2F11r8tnmrh!19sChIJX0c3fu5OoY8RwFloZDZEwKs?hl=es,https://www.hospitallasamericas.com/
